variable_name,column_number_ttgintt4,source_type,official_variable_label,label_group_1,label_group_2,label_group_3,label_group_4,teacher_questionnaire_question,item,valid_value_labels,special_missing_or_skip_codes,all_value_labels,available_idpop,available_files,recommended_cleaning_note
TT4G76C,413,teacher questionnaire item,Occupational Perceptions/ Experiences as a teacher at this school/ My job negatively impacts my mental health,Occupational Perceptions,Experiences as a teacher at this school,My job negatively impacts my mental health,,76,C,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G76D,414,teacher questionnaire item,Occupational Perceptions/ Experiences as a teacher at this school/ My job negatively impacts my physical health,Occupational Perceptions,Experiences as a teacher at this school,My job negatively impacts my physical health,,76,D,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77A,415,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having too much lesson preparation,Occupational Perceptions,Sources of stress in work,Having too much lesson preparation,,77,A,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77B,416,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having too many lessons to teach,Occupational Perceptions,Sources of stress in work,Having too many lessons to teach,,77,B,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77C,417,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having too much marking,Occupational Perceptions,Sources of stress in work,Having too much marking,,77,C,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77D,418,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having too much administrative work to do,Occupational Perceptions,Sources of stress in work,Having too much administrative work to do,,77,D,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77E,419,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having extra duties due to absent teachers,Occupational Perceptions,Sources of stress in work,Having extra duties due to absent teachers,,77,E,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77F,420,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Being held responsible for students’ achievement,Occupational Perceptions,Sources of stress in work,Being held responsible for students’ achievement,,77,F,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77G,421,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Maintaining classroom discipline,Occupational Perceptions,Sources of stress in work,Maintaining classroom discipline,,77,G,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77H,422,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Being intimidated or verbally abused by students,Occupational Perceptions,Sources of stress in work,Being intimidated or verbally abused by students,,77,H,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77I,423,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Keeping up with changing requirements from authorities,Occupational Perceptions,Sources of stress in work,Keeping up with changing requirements from authorities,,77,I,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77J,424,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Addressing parent or guardian concerns,Occupational Perceptions,Sources of stress in work,Addressing parent or guardian concerns,,77,J,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77K,425,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Modifying lessons for students with special education needs,Occupational Perceptions,Sources of stress in work,Modifying lessons for students with special education needs,,77,K,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77L,426,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Being held responsible for students’ well-being,Occupational Perceptions,Sources of stress in work,Being held responsible for students’ well-being,,77,L,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77M,427,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Keeping up with curriculum or programme changes in this school,Occupational Perceptions,Sources of stress in work,Keeping up with curriculum or programme changes in this school,,77,M,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77N,428,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having too much work on diversity and equity issues,Occupational Perceptions,Sources of stress in work,Having too much work on diversity and equity issues,,77,N,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77O,429,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Having to adapt my work due to unexpected disruptions,Occupational Perceptions,Sources of stress in work,Having to adapt my work due to unexpected disruptions,,77,O,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G77P,430,teacher questionnaire item,Occupational Perceptions/ Sources of stress in work/ Keeping up with professional learning,Occupational Perceptions,Sources of stress in work,Keeping up with professional learning,,77,P,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot,8 = Not administered | 9 = Omitted or invalid,1 = Not at all | 2 = To some extent | 3 = Quite a bit | 4 = A lot | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78A,431,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ The advantages clearly outweigh the disadvantages,Occupational Perceptions,Job satisfaction,The advantages clearly outweigh the disadvantages,,78,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78B,432,teacher questionnaire item,"Occupational Perceptions/ Job satisfaction/ If I could decide again, I would still choose to work as a teacher",Occupational Perceptions,Job satisfaction,"If I could decide again, I would still choose to work as a teacher",,78,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78C,433,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I would like to change to another school if that were possible,Occupational Perceptions,Job satisfaction,I would like to change to another school if that were possible,,78,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78D,434,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I regret that I decided to become a teacher,Occupational Perceptions,Job satisfaction,I regret that I decided to become a teacher,,78,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78E,435,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I enjoy working at this school,Occupational Perceptions,Job satisfaction,I enjoy working at this school,,78,E,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78F,436,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I wonder whether it would be better to choose another profession,Occupational Perceptions,Job satisfaction,I wonder whether it would be better to choose another profession,,78,F,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78G,437,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I would recommend my school as a good place to work,Occupational Perceptions,Job satisfaction,I would recommend my school as a good place to work,,78,G,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78H,438,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I think that the teaching profession is valued in society,Occupational Perceptions,Job satisfaction,I think that the teaching profession is valued in society,,78,H,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78I,439,teacher questionnaire item,Occupational Perceptions/ Job satisfaction/ I am satisfied with my performance in this school,Occupational Perceptions,Job satisfaction,I am satisfied with my performance in this school,,78,I,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G78J,440,teacher questionnaire item,"Occupational Perceptions/ Job satisfaction/ All in all, I am satisfied with my job",Occupational Perceptions,Job satisfaction,"All in all, I am satisfied with my job",,78,J,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79A,441,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ I am satisfied with the salary I receive for my work,Occupational Perceptions,Perceptions of teachers' value,I am satisfied with the salary I receive for my work,,79,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79B,442,teacher questionnaire item,"Occupational Perceptions/ Perceptions of teachers' value/ Apart from salary, I am satisfied with <contract/employment>",Occupational Perceptions,Perceptions of teachers' value,"Apart from salary, I am satisfied with <contract",employment>,79,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79C,443,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued by students in this school,Occupational Perceptions,Perceptions of teachers' value,Teachers are valued by students in this school,,79,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79D,444,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued by parents/guardians,Occupational Perceptions,Perceptions of teachers' value,Teachers are valued by parents,guardians,79,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79E,445,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ Teachers’ views are valued by policymakers,Occupational Perceptions,Perceptions of teachers' value,Teachers’ views are valued by policymakers,,79,E,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79F,446,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ Teachers can influence educational policy,Occupational Perceptions,Perceptions of teachers' value,Teachers can influence educational policy,,79,F,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G79G,447,teacher questionnaire item,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued in the media,Occupational Perceptions,Perceptions of teachers' value,Teachers are valued in the media,,79,G,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G80A,448,teacher questionnaire item,Occupational Perceptions/ Enjoyment of teaching/ I like the subject(s) that I teach,Occupational Perceptions,Enjoyment of teaching,I like the subject(s) that I teach,,80,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G80B,449,teacher questionnaire item,Occupational Perceptions/ Enjoyment of teaching/ I often feel happy while I teach,Occupational Perceptions,Enjoyment of teaching,I often feel happy while I teach,,80,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G80C,450,teacher questionnaire item,Occupational Perceptions/ Enjoyment of teaching/ I generally teach with enthusiasm,Occupational Perceptions,Enjoyment of teaching,I generally teach with enthusiasm,,80,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G80D,451,teacher questionnaire item,Occupational Perceptions/ Enjoyment of teaching/ The interesting challenges of teaching give me satisfaction,Occupational Perceptions,Enjoyment of teaching,The interesting challenges of teaching give me satisfaction,,80,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G82A,452,teacher questionnaire item,"Teacher Mobility/ Been abroad for professional purposes/ As a student, as part of my teacher <education or training>",Teacher Mobility,Been abroad for professional purposes,"As a student, as part of my teacher <education or training>",,82,A,1 = Yes | 2 = No,8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G82B,453,teacher questionnaire item,Teacher Mobility/ Been abroad for professional purposes/ As a teacher in an EU programme,Teacher Mobility,Been abroad for professional purposes,As a teacher in an EU programme,,82,B,1 = Yes | 2 = No,8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G82C,454,teacher questionnaire item,Teacher Mobility/ Been abroad for professional purposes/ As a teacher in a regional or national programme,Teacher Mobility,Been abroad for professional purposes,As a teacher in a regional or national programme,,82,C,1 = Yes | 2 = No,8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G82D,455,teacher questionnaire item,"Teacher Mobility/ Been abroad for professional purposes/ As a teacher, as arranged by a school or school district",Teacher Mobility,Been abroad for professional purposes,"As a teacher, as arranged by a school or school district",,82,D,1 = Yes | 2 = No,8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G82E,456,teacher questionnaire item,"Teacher Mobility/ Been abroad for professional purposes/ As a teacher, by my own initiative",Teacher Mobility,Been abroad for professional purposes,"As a teacher, by my own initiative",,82,E,1 = Yes | 2 = No,8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G83A,457,teacher questionnaire item,"Teacher Mobility/ Professional purposes of visits abroad/ Studying, as part of my teacher education",Teacher Mobility,Professional purposes of visits abroad,"Studying, as part of my teacher education",,83,A,1 = Yes | 2 = No,6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid"
TT4G83B,458,teacher questionnaire item,Teacher Mobility/ Professional purposes of visits abroad/ Language learning,Teacher Mobility,Professional purposes of visits abroad,Language learning,,83,B,1 = Yes | 2 = No,6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid"
TT4G83C,459,teacher questionnaire item,Teacher Mobility/ Professional purposes of visits abroad/ Learning of other subject areas,Teacher Mobility,Professional purposes of visits abroad,Learning of other subject areas,,83,C,1 = Yes | 2 = No,6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid"
TT4G83D,460,teacher questionnaire item,Teacher Mobility/ Professional purposes of visits abroad/ Accompanying visiting students,Teacher Mobility,Professional purposes of visits abroad,Accompanying visiting students,,83,D,1 = Yes | 2 = No,6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,1 = Yes | 2 = No | 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 6 = Logically not applicable | 8 = Not administered | 9 = Omitted or invalid"
